"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-02-05 02:54:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.138427 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 03:12:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.137813 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 03:32:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1388143 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 03:50:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1388222 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 04:08:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.139393 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 04:24:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1394088 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 04:46:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.137783 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 05:04:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.137999 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 05:20:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1384603 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 05:36:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.138919 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 05:54:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1393065 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 06:12:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.139651 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 06:32:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1391936 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 06:50:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1389957 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 07:22:55,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.139002 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 07:58:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.141215 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 08:20:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1406433 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 08:36:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1399772 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 08:54:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.139003 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 09:12:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.139479 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 09:32:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.137687 ，价格没有下跌到买入点，继续观察行情...
